"section","id","item","detail","status","refs"
"REFERENCE","R5","Law of total variance, textbook statement","Deisenroth, M.P., Faisal, A.A., Ong, C.S. (2020). Mathematics for Machine Learning. CUP.","",""
"REFERENCE","R6","The standard survey; covers both measures","Huellermeier, E., Waegeman, W. (2021). Aleatoric and Epistemic Uncertainty in Machine Learning: An Introduction to Concepts and Methods. Machine Learning 110:457-506.","","arXiv:1910.09457"
"REFERENCE","R7","THE CRITIQUE of the entropy form - cite this before a committee does","Wimmer, L., Sale, Y., Hofman, P., Bischl, B., Huellermeier, E. (2023). Quantifying Aleatoric and Epistemic Uncertainty: Are Conditional Entropy and Mutual Information Appropriate Measures? UAI.","","arXiv:2209.03302"
"REFERENCE","R8","BALD - the entropy form being replaced. Cite for what gauge lock mk1 WAS","Houlsby, N., Huszar, F., Ghahramani, Z., Lengyel, M. (2011). Bayesian Active Learning for Classification and Preference Learning.","","arXiv:1112.5745"
"REFERENCE","R9","The distinction itself, pre-ML","Der Kiureghian, A., Ditlevsen, O. (2009). Aleatory or Epistemic? Does it Matter? Structural Safety 31(2):105-112.","",""
"REFERENCE","R10","Evidence framework, effective parameters gamma, tau as prior precision","MacKay, D.J.C. (1992). Bayesian Interpolation / A Practical Bayesian Framework for Backpropagation Networks. Neural Computation 4(3).","",""
"REFERENCE","R11","HMC gold standard (C2)","Neal, R.M. (2011). MCMC using Hamiltonian Dynamics. Handbook of MCMC ch.5.","","arXiv:1206.1901"
"REFERENCE","R12","The tutorial problem, origin. Point answer, no error bars","Jaynes, E.T. (1963). Information Theory and Statistical Mechanics. Brandeis Summer Institute 1962, Vol 3, K.W. Ford (ed.), p.181.","",""
"REFERENCE","R13","Brandeis dice WITH error bars - the tutorial's precedent for what FORGE adds","van Enk, S.J. (2014). The Brandeis Dice Problem and Statistical Mechanics.","","arXiv:1408.6803"
"REFERENCE","R14","Bias contamination of the decomposition; estimator correlation. Supports caveats V2 and V6","Position: Epistemic Uncertainty Estimation Methods are Fundamentally Incomplete (2026).","","arXiv:2505.23506"
"REFERENCE","R15","The phonon model being reproduced (E(3)NN, mk1 paper repro)","Chen, Z. et al. (2021). Direct Prediction of Phonon Density of States with Euclidean Neural Networks.","",""
